Architecture,Optimizer,Val_MAE,Val_MSE
"[64, 32, 16]",Adam,3.338435173034668,17.8978271484375
"[128, 128, 64]",Adam,3.452183723449707,19.076763153076172
"[64, 64]",Adam,3.4636826515197754,19.1046142578125
"[32, 32]",Adam,3.472055196762085,19.175987243652344
"[32, 32]",RMSprop,3.614333152770996,20.63084602355957
"[128, 64]",RMSprop,3.707882881164551,21.86359214782715
"[128, 64]",Adam,3.7288646697998047,22.0438175201416
"[64, 32, 16]",RMSprop,4.69667387008667,33.122833251953125
"[64, 64]",RMSprop,5.501913547515869,44.09009552001953
"[32, 32]",SGD,14.80756950378418,290.1728820800781
"[64, 32, 16]",SGD,14.867973327636719,290.9095458984375
"[128, 128, 64]",RMSprop,15.832955360412598,267.5628356933594
"[128, 128, 64]",Adagrad,39.90497970581055,2371.716796875
"[64, 32, 16]",Adagrad,83.89189147949219,9493.7197265625
"[128, 64]",Adagrad,144.48944091796875,23067.9765625
"[64, 64]",Adagrad,228.58306884765625,53849.68359375
"[32, 32]",Adagrad,390.42193603515625,152938.65625
"[64, 64]",SGD,,
"[128, 64]",SGD,,
"[128, 128, 64]",SGD,,
